   MainThread:14:46:09.623 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:09.745 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:10.103 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:10.104 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:46:10.330 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:10.332 scanner.py                                215 DEBUG    | 8 devices found. Watcher status: <BluetoothLEAdvertisementWatcherStatus.STOPPED: 3>.
   MainThread:14:46:10.332 client.py                                  85 WARNING  | Failed to find a device in 10 seconds. Retrying #4
   MainThread:14:46:10.333 gopro_wireless.py                         316 ERROR    | Error while opening: A scan timed out without finding a device
   MainThread:14:46:10.335 util.py                                   210 DEBUG    | Send cmd --> netsh wlan disconnect interface="Wi-Fi 2"
   MainThread:14:46:10.393 util.py                                   216 DEBUG    | Receive response --> 

   MainThread:14:46:10.393 photo.py                                   51 ERROR    | FailedToFindDevice('A scan timed out without finding a device')
